"","x"
"Majed Moqed",0
"Khalid Al-Mihdhar",41.1
"Hani Hanjour",370.876262626263
"Nawaf Alhazmi",250.242929292929
"Salem Alhazmi*",0
"Ahmed Alnami",0
"Ahmed Alghamdi",2.5
"Saeed Alghamdi*",123.012842712843
"Hamza Alghamdi",105.065656565657
"Ahmed Al Haznawi",182.876479076479
"Mohand Alshehri*",18.3131313131313
"Fayez Ahmed",47.3964646464647
"Ziad Jarrah",231.159812409812
"Marwan Al-Shehhi",134.476334776335
"Mohamed Atta",899.165584415584
"Abdul Aziz Al-Omari*",76.1809523809523
"Waleed Alshehri",125.06746031746
"Wail Alshehri",0
"Satam Suqami",66.7007936507936
"Raed Hijazi",17.4277777777778
"Nabil al-Marabh",24.5944444444444
"Mustafa Ahamend al-Hisawi",104.114285714286
"Mamoun Darkazanli",0
"Zakariya Essabar",0
"Said Bahaji",4.83975468975469
"Mounir El Motassadeq",0
"Zacarias Moussaoui",389.621428571428
"Ramzi Bin al-Shibh",96.1199134199134
"Agus Budiman",42.4
"Ahed Khalil Ibrahim Samir Al-Ani",15.6
"Lofti Raissi",421.109595959596
"Rayed Mohammed Abdullah",41.8
"Bandar Alhazmi",0
"Faisal Al Salmi",0
"Osama Awadallah",0
"Abdussattar Shaikh",0
"Mohamed Abdi",0
"Mohamed Belfas",0.5
"Imad Eddin Baraat Yarkas",72.3857142857143
"Takek Maaroufi",36.4880952380952
"Abu Qatada",97.7761904761905
"Djamal Benghal",189.230952380952
"Jerome Courtaillier",0
"David Courtaillier",0
"Ahmen Ressam",14.5166666666667
"Abu Walid",0
"Jean-Marc Grandvisir",0
"Abu Zubeida",0
"Nizar Trabelsi",0
"Haydar Abu Doha",15.5833333333333
"Mehdi Khammoun",1
"Mohammed Bensakhria",9.13333333333333
"Lased Ben Heni",0
"Essid Sami Ben Khemail",454.571428571429
"Seifallah ben Hassine",0.166666666666667
"Essoussi Laaroussi",0.166666666666667
"Tarek Maaroufi",36.4880952380952
"Fahid al Shakri",0
"Madjid Sahoune",0
"Samir Kishk",0
"Kamel Daoudi",15.2309523809524
