"","x"
"Majed Moqed",1
"Khalid Al-Mihdhar",4
"Hani Hanjour",7
"Nawaf Alhazmi",9
"Salem Alhazmi*",1
"Ahmed Alnami",3
"Ahmed Alghamdi",2
"Saeed Alghamdi*",6
"Hamza Alghamdi",6
"Ahmed Al Haznawi",3
"Mohand Alshehri*",2
"Fayez Ahmed",3
"Ziad Jarrah",8
"Marwan Al-Shehhi",12
"Mohamed Atta",15
"Abdul Aziz Al-Omari*",3
"Waleed Alshehri",4
"Wail Alshehri",2
"Satam Suqami",4
"Raed Hijazi",3
"Nabil al-Marabh",4
"Mustafa Ahamend al-Hisawi",4
"Mamoun Darkazanli",3
"Zakariya Essabar",5
"Said Bahaji",7
"Mounir El Motassadeq",4
"Zacarias Moussaoui",8
"Ramzi Bin al-Shibh",9
"Agus Budiman",5
"Ahed Khalil Ibrahim Samir Al-Ani",2
"Lofti Raissi",5
"Rayed Mohammed Abdullah",4
"Bandar Alhazmi",2
"Faisal Al Salmi",2
"Osama Awadallah",3
"Abdussattar Shaikh",3
"Mohamed Abdi",1
"Mohamed Belfas",2
"Imad Eddin Baraat Yarkas",5
"Takek Maaroufi",6
"Abu Qatada",7
"Djamal Benghal",9
"Jerome Courtaillier",4
"David Courtaillier",4
"Ahmen Ressam",2
"Abu Walid",3
"Jean-Marc Grandvisir",1
"Abu Zubeida",1
"Nizar Trabelsi",1
"Haydar Abu Doha",4
"Mehdi Khammoun",3
"Mohammed Bensakhria",5
"Lased Ben Heni",2
"Essid Sami Ben Khemail",12
"Seifallah ben Hassine",3
"Essoussi Laaroussi",3
"Tarek Maaroufi",6
"Fahid al Shakri",1
"Madjid Sahoune",2
"Samir Kishk",1
"Kamel Daoudi",6
